구분,시도,용도,차종,유종,일평균주행거리
353,충북,비사업용,승용차 다목적형,휘발유,13.04619565
354,경기,비사업용,승용차 다목적형,휘발유,9.8395574
355,대구,비사업용,승용차 다목적형,휘발유,16.78988327
356,대구,비사업용,승용차 다목적형,휘발유,12.0452469
357,서울,비사업용,승용차 다목적형,휘발유,10.22386059
358,경기,비사업용,승용차 다목적형,휘발유,25.3203125
359,대구,비사업용,승용차 다목적형,휘발유,9.429539295
360,경기,비사업용,승용차 다목적형,휘발유,19.74299635
361,경기,비사업용,승용차 다목적형,휘발유,9.997361478
362,경기,비사업용,승용차 다목적형,휘발유,30.44661458
363,서울,비사업용,승용차 다목적형,휘발유,17.30464481
364,서울,비사업용,승용차 다목적형,휘발유,38.09415121
365,경기,비사업용,승용차 다목적형,휘발유,14.85209424
366,경북,비사업용,승용차 다목적형,휘발유,28.84872933
367,경기,비사업용,승용차 다목적형,휘발유,18.02944942
368,서울,비사업용,승용차 다목적형,휘발유,14.94133333
369,경기,비사업용,화물차 특수용도형,경유,2.551020408
370,경북,비사업용,특수차 구난형,경유,0.5
371,충남,비사업용,승용차 기타형,휘발유,8.365013774
372,서울,비사업용,승용차 일반형,휘발유,11.14097497
373,경기,비사업용,승용차 일반형,휘발유,10.71524064
374,강원,비사업용,승용차 일반형,휘발유,17.80737705
375,서울,비사업용,승용차 일반형,휘발유,13.27285319
376,제주,비사업용,승용차 일반형,휘발유,7.836107554
377,충남,비사업용,승용차 일반형,휘발유,15.49173554
378,서울,비사업용,승용차 일반형,휘발유,6.136300417
379,서울,비사업용,승용차 일반형,휘발유,14.47759283
380,경기,비사업용,승용차 일반형,휘발유,35.84478022
381,서울,비사업용,승용차 일반형,휘발유,13.14819945
382,대구,비사업용,승용차 일반형,휘발유,10.42597765
383,서울,비사업용,승용차 일반형,휘발유,28.2108452
384,서울,비사업용,승용차 일반형,휘발유,31.13342318
385,경기,비사업용,승용차 다목적형,휘발유,18.16088766
386,강원,비사업용,화물차 특수용도형,경유,0.135734072
387,서울,비사업용,특수차 견인형,경유,5.098214286
388,서울,비사업용,특수차 견인형,경유,5.95412844
389,충남,비사업용,특수차 특수작업형,경유,0.324468085
390,서울,비사업용,승용차 일반형,휘발유,8.209141274
391,인천,비사업용,승용차 일반형,휘발유,86.4962406
392,부산,비사업용,승용차 일반형,휘발유,29.01574803
393,대구,비사업용,승용차 일반형,휘발유,11.54098361
394,경기,비사업용,승용차 일반형,휘발유,17.66387727
395,대구,비사업용,승용차 일반형,휘발유,15.53966517
396,경기,비사업용,승용차 일반형,휘발유,15.62154696
397,부산,비사업용,승용차 일반형,휘발유,10.99315068
398,부산,비사업용,승용차 일반형,휘발유,33.69972826
399,경기,비사업용,승용차 일반형,휘발유,41.83866667
400,경기,비사업용,승용차 일반형,휘발유,8.42722372
401,경기,비사업용,승용차 일반형,휘발유,10.82245431
402,경기,비사업용,승용차 일반형,휘발유,12.73407202
403,경기,비사업용,승용차 일반형,휘발유,17.74266108
404,서울,비사업용,승용차 일반형,휘발유,11.18793829
405,서울,비사업용,승용차 일반형,휘발유,10.76131687
406,경기,비사업용,승용차 일반형,휘발유,36.13660477
407,경기,비사업용,승용차 일반형,휘발유,17.63138523
408,경기,비사업용,승용차 일반형,휘발유,41.24686717
409,전남,비사업용,승용차 일반형,휘발유,40.08005249
410,광주,비사업용,승용차 일반형,휘발유,30.01560826
411,충북,비사업용,승용차 일반형,휘발유,12.24932249
412,경기,비사업용,승용차 일반형,휘발유,15.66981737
413,서울,비사업용,승용차 다목적형,휘발유,18.92582418
414,서울,비사업용,승합차 일반형,LPG,2.67768595
415,서울,비사업용,특수차 견인형,경유,1.197831978
416,경북,비사업용,승용차 일반형,기타,21.17670683
417,서울,비사업용,승용차 일반형,휘발유,30.13245033
418,부산,비사업용,승용차 일반형,휘발유,20.63090677
419,서울,비사업용,승용차 일반형,휘발유,31.41045752
420,서울,비사업용,승용차 일반형,휘발유,17.49103943
421,서울,비사업용,승용차 일반형,휘발유,14.01997337
422,경기,비사업용,승용차 일반형,휘발유,29.04293629
423,서울,비사업용,승용차 일반형,휘발유,19.05331599
424,강원,비사업용,승용차 일반형,휘발유,16.19350474
425,경기,비사업용,승용차 일반형,휘발유,17.12352168
426,경기,비사업용,승용차 일반형,휘발유,25.15761589
427,경기,비사업용,승용차 일반형,휘발유,15.68162084
428,경기,비사업용,승용차 일반형,휘발유,12.49690384
429,서울,비사업용,승용차 일반형,휘발유,18.99065863
430,인천,비사업용,승용차 일반형,휘발유,15.81107955
431,경기,비사업용,승용차 일반형,휘발유,24.40053763
432,경기,비사업용,승용차 일반형,휘발유,28.75448748
433,서울,비사업용,승용차 일반형,휘발유,20.70816044
434,인천,비사업용,승용차 일반형,휘발유,17.72074468
435,서울,비사업용,승용차 일반형,휘발유,47.5560166
436,강원,비사업용,승용차 일반형,휘발유,16.20956399
437,경기,비사업용,승용차 일반형,휘발유,22.92022008
438,서울,비사업용,승용차 일반형,휘발유,15.50140056
439,경북,비사업용,승용차 일반형,휘발유,8.449567723
440,경기,비사업용,승용차 일반형,휘발유,6.790513834
441,경남,비사업용,승용차 일반형,휘발유,15.84463277
442,서울,비사업용,승용차 일반형,휘발유,18.04390244
443,울산,비사업용,승용차 일반형,휘발유,27.29879061
444,강원,비사업용,승용차 일반형,휘발유,16.70804928
445,경기,비사업용,승용차 일반형,휘발유,25.0782726
446,서울,비사업용,승용차 일반형,휘발유,8.532894737
447,인천,비사업용,승용차 일반형,휘발유,32.32878412
448,경남,비사업용,승용차 일반형,휘발유,9.335837303
449,서울,비사업용,승용차 일반형,휘발유,13.73342355
450,전북,비사업용,승용차 일반형,휘발유,27.38873995
451,서울,비사업용,승용차 일반형,휘발유,12.64435696
452,부산,비사업용,승용차 일반형,휘발유,6.952745849
453,충북,비사업용,승용차 일반형,휘발유,30.17991632
454,전남,비사업용,승용차 일반형,휘발유,9.262937063
455,인천,비사업용,승용차 일반형,휘발유,13.80142857
456,경기,비사업용,승용차 일반형,휘발유,64.47774869
457,부산,비사업용,승용차 일반형,휘발유,8.157318741
458,대구,비사업용,승용차 일반형,휘발유,20.00659631
459,서울,비사업용,승용차 일반형,휘발유,6.545576408
460,서울,비사업용,승용차 일반형,휘발유,24.81697613
461,경기,비사업용,승용차 일반형,휘발유,12.02136752
462,서울,비사업용,승용차 일반형,휘발유,17.99734043
463,서울,비사업용,승용차 일반형,휘발유,26.14689266
464,서울,비사업용,승용차 일반형,휘발유,6.773560209
465,경기,비사업용,승용차 일반형,휘발유,7.333800842
466,경기,비사업용,승용차 일반형,휘발유,16.29054054
467,서울,비사업용,승용차 일반형,휘발유,7.458755427
468,경북,비사업용,승용차 일반형,휘발유,29.65601326
469,서울,비사업용,승용차 일반형,휘발유,10.35904255
470,강원,비사업용,승용차 일반형,휘발유,15.05255682
471,경기,비사업용,승용차 일반형,휘발유,21.02008032
472,충남,비사업용,승용차 일반형,휘발유,34.12121212
473,대구,비사업용,승용차 일반형,휘발유,8.761776581
474,경기,비사업용,승용차 일반형,휘발유,30.50672166
475,충북,비사업용,승용차 일반형,휘발유,18.34045584
476,서울,비사업용,승용차 일반형,휘발유,14.06584362
477,인천,비사업용,승합차 일반형,휘발유,27.64541833
478,경기,비사업용,승합차 특수용도형,휘발유,16.3265896
479,경기,비사업용,승합차 특수용도형,휘발유,2.788571429
480,경기,비사업용,승합차 특수용도형,휘발유,1.387533875
481,강원,비사업용,화물차 특수용도형,경유,0.257452575
482,대구,비사업용,특수차 특수작업형,경유,9.328125
483,충남,비사업용,특수차 특수작업형,경유,1.683615819
484,충남,비사업용,특수차 특수작업형,경유,7.677777778
485,충남,비사업용,특수차 특수작업형,경유,0.78968254
486,경북,비사업용,승용차 일반형,휘발유,8.683060109
487,경기,비사업용,승용차 일반형,휘발유,10.14782609
488,경기,비사업용,승용차 일반형,휘발유,24.60294118
489,서울,비사업용,승용차 일반형,휘발유,42.55783784
490,서울,비사업용,승용차 일반형,휘발유,24.09307876
491,서울,비사업용,승용차 일반형,휘발유,22.1824417
492,서울,비사업용,승용차 일반형,휘발유,12.38554217
493,강원,비사업용,승용차 일반형,휘발유,23.77989822
494,대구,비사업용,승용차 일반형,휘발유,32.09560166
495,강원,비사업용,승용차 일반형,휘발유,23.24124514
496,경기,비사업용,승용차 일반형,휘발유,32.32681802
497,경남,비사업용,승용차 일반형,휘발유,14.01731025
498,경기,비사업용,승용차 일반형,휘발유,6.12292801
499,경기,비사업용,승용차 일반형,휘발유,17.40963855
500,대전,비사업용,승용차 일반형,휘발유,12.3974359
501,경기,비사업용,승용차 일반형,휘발유,6.363636364
502,서울,비사업용,승용차 일반형,휘발유,12.96551724
503,서울,비사업용,승용차 일반형,휘발유,18.45098039
504,부산,비사업용,승용차 일반형,휘발유,26.2422611
505,전남,비사업용,승용차 일반형,경유,50.93644068
506,서울,비사업용,승용차 일반형,휘발유,45.73255814
507,경기,비사업용,승용차 일반형,휘발유,7.800236407
508,서울,비사업용,승용차 일반형,휘발유,21.33344188
509,충북,비사업용,승용차 일반형,휘발유,12.53751705
510,전북,비사업용,승용차 일반형,LPG,30.64265928
511,강원,비사업용,화물차 특수용도형,경유,52.93154762
512,경기,비사업용,화물차 특수용도형,경유,0.785425101
513,충남,비사업용,화물차 특수용도형,경유,7.095238095
514,전남,비사업용,화물차 특수용도형,경유,60.25606469
515,인천,사업용,화물차 특수용도형,경유,24.85875706
516,서울,사업용,화물차 특수용도형,경유,40.59945504
517,서울,비사업용,특수차 견인형,경유,6.404255319
518,서울,비사업용,특수차 견인형,경유,6.37037037
519,서울,비사업용,특수차 견인형,경유,0.717808219
520,서울,비사업용,승용차 일반형,휘발유,8.413132695
521,경기,비사업용,승용차 일반형,휘발유,8.665734266
522,경기,비사업용,승용차 일반형,휘발유,17.69220246
523,서울,비사업용,승용차 일반형,휘발유,7.642857143
