구분,시도,용도,차종,유종,일평균주행거리
716,서울,비사업용,승용차 일반형,휘발유,19.97606383
717,제주,비사업용,승용차 일반형,휘발유,10.78482759
718,경기,비사업용,승용차 일반형,휘발유,38.79108635
719,인천,비사업용,승용차 일반형,휘발유,23.32098765
720,경기,비사업용,승용차 일반형,휘발유,15.24538259
721,경북,비사업용,승용차 일반형,휘발유,76.70954357
722,대구,비사업용,승용차 일반형,휘발유,53.18413978
723,경기,비사업용,승용차 일반형,휘발유,32.36221591
724,경기,비사업용,승용차 일반형,휘발유,21.41644205
725,대구,비사업용,승용차 일반형,휘발유,37.61705007
726,인천,비사업용,승용차 일반형,휘발유,44.43401361
727,충남,비사업용,승용차 일반형,휘발유,42.0698324
728,대구,비사업용,승용차 일반형,휘발유,43.17852349
729,경기,비사업용,승용차 일반형,휘발유,49.9973262
730,강원,비사업용,승용차 일반형,휘발유,7.485436893
731,서울,비사업용,승용차 일반형,휘발유,20.06224066
732,서울,비사업용,승용차 일반형,휘발유,35.42154255
733,서울,비사업용,승용차 일반형,휘발유,16.61923584
734,경남,비사업용,승용차 일반형,휘발유,33.01744966
735,경북,비사업용,승용차 일반형,휘발유,42.04755245
736,경기,비사업용,승용차 일반형,휘발유,15.8960114
737,대전,비사업용,승용차 일반형,휘발유,36.96052632
738,서울,비사업용,승용차 일반형,휘발유,36.12250333
739,서울,비사업용,승용차 일반형,휘발유,12.22119205
740,서울,비사업용,승용차 일반형,휘발유,62.51001335
741,서울,비사업용,승용차 일반형,휘발유,7.714864865
742,서울,비사업용,승용차 일반형,휘발유,13.247851
743,경기,비사업용,승용차 일반형,휘발유,56.54698457
744,경기,비사업용,승용차 일반형,휘발유,27.40616622
745,제주,비사업용,승용차 일반형,휘발유,40.06122449
746,경기,비사업용,승용차 일반형,휘발유,15.06518724
747,경기,비사업용,승용차 일반형,휘발유,21.75589459
748,서울,비사업용,승용차 일반형,휘발유,27.19198895
749,경기,비사업용,승용차 일반형,휘발유,16.13506139
750,경남,비사업용,승용차 일반형,휘발유,52.84471218
751,서울,비사업용,승용차 일반형,휘발유,18.40482955
752,경기,비사업용,승용차 일반형,휘발유,41.95861148
753,울산,비사업용,승용차 일반형,휘발유,37.14379085
754,울산,비사업용,승용차 일반형,휘발유,58.29238985
755,부산,비사업용,승용차 일반형,휘발유,30.50681199
756,부산,비사업용,승용차 일반형,휘발유,30.24828532
757,부산,비사업용,승용차 일반형,휘발유,13.8557423
758,경기,비사업용,승용차 일반형,휘발유,52.05834464
759,대구,비사업용,승용차 일반형,휘발유,27.70861833
760,부산,비사업용,승용차 일반형,휘발유,17.44382802
761,대전,비사업용,승용차 일반형,휘발유,38.46393211
762,인천,비사업용,승용차 일반형,휘발유,19.73841962
763,경기,비사업용,승용차 일반형,휘발유,37.03009576
764,경기,비사업용,승용차 일반형,휘발유,80.95658073
765,부산,비사업용,승용차 일반형,휘발유,23.9025788
766,대구,비사업용,승용차 일반형,휘발유,36.34491979
767,경기,비사업용,승용차 일반형,휘발유,39.41015089
768,부산,비사업용,승용차 일반형,휘발유,39.47717842
769,부산,비사업용,승용차 일반형,휘발유,29.70467033
770,경기,비사업용,승용차 일반형,휘발유,36.5625
771,경기,비사업용,승용차 일반형,휘발유,46.34313725
772,대구,비사업용,승용차 일반형,휘발유,14.31994645
773,광주,비사업용,승용차 일반형,휘발유,51.60803324
774,경기,비사업용,승용차 일반형,휘발유,51.90068027
775,경기,비사업용,승용차 일반형,휘발유,14.04118404
776,서울,비사업용,승용차 일반형,휘발유,12.76236264
777,대전,비사업용,승용차 일반형,휘발유,36.66534914
778,광주,비사업용,승용차 일반형,휘발유,20.57588076
779,경기,비사업용,승용차 일반형,휘발유,26.94075145
780,경기,비사업용,승용차 일반형,휘발유,7.805107527
781,서울,비사업용,승용차 일반형,휘발유,22.47459893
782,서울,비사업용,승용차 일반형,휘발유,17.61134163
783,경남,비사업용,승용차 일반형,휘발유,48.55915493
784,경기,비사업용,승용차 일반형,휘발유,32.5869281
785,대전,비사업용,승용차 일반형,휘발유,17.67197875
786,서울,비사업용,승용차 일반형,휘발유,59.26027397
787,경남,비사업용,승용차 일반형,휘발유,36.59827834
788,서울,비사업용,승용차 일반형,휘발유,11.30458971
789,경기,비사업용,승용차 일반형,휘발유,56.08625337
790,경남,비사업용,승용차 일반형,휘발유,13.41374663
791,서울,비사업용,승용차 일반형,휘발유,15.52924791
792,부산,비사업용,승용차 일반형,휘발유,33.64780764
793,경기,비사업용,승용차 일반형,휘발유,34.16713881
794,서울,비사업용,승용차 일반형,휘발유,76.46840659
795,서울,비사업용,승용차 일반형,휘발유,17.14496644
796,서울,비사업용,승용차 일반형,휘발유,16.23770492
797,경기,비사업용,승용차 일반형,휘발유,16.3954727
798,부산,비사업용,승용차 일반형,휘발유,14.36522911
799,부산,비사업용,승용차 일반형,휘발유,34.93947368
800,경기,비사업용,승용차 일반형,휘발유,44.18245125
801,충북,비사업용,승용차 일반형,휘발유,40.90331492
802,대전,비사업용,승용차 일반형,휘발유,20.77278912
803,전북,비사업용,승용차 일반형,휘발유,9.601388889
804,인천,비사업용,승용차 일반형,휘발유,31.69795918
805,광주,비사업용,승용차 일반형,휘발유,40.11748999
806,서울,비사업용,승용차 일반형,휘발유,29.16666667
807,서울,비사업용,승용차 일반형,휘발유,19.67803547
808,제주,비사업용,승용차 일반형,휘발유,78.06317204
809,경북,비사업용,승용차 일반형,휘발유,38.86332882
810,경북,비사업용,승용차 일반형,휘발유,64.89480692
811,서울,비사업용,승용차 일반형,휘발유,52.77472527
812,경기,비사업용,승용차 일반형,휘발유,38.31633987
813,부산,비사업용,승용차 일반형,휘발유,31.61752988
814,부산,비사업용,승용차 일반형,휘발유,28.53715776
815,부산,비사업용,승용차 일반형,휘발유,9.139410188
816,경북,비사업용,승용차 일반형,휘발유,58.35818908
817,광주,비사업용,승용차 일반형,휘발유,30.42411348
818,경기,비사업용,승용차 일반형,휘발유,28.87119114
819,경기,비사업용,승용차 일반형,휘발유,42.05045278
820,부산,비사업용,승용차 일반형,휘발유,6.827260459
821,대전,비사업용,승용차 일반형,휘발유,45.22357724
822,대구,비사업용,승용차 일반형,휘발유,61.82246133
823,경기,비사업용,승용차 일반형,휘발유,16.49496982
824,경기,비사업용,승용차 일반형,휘발유,12.82862903
825,대구,비사업용,승용차 일반형,휘발유,37.39538043
826,경기,비사업용,승용차 일반형,휘발유,18.28668942
827,경기,비사업용,승용차 일반형,휘발유,43.33539945
828,부산,비사업용,승용차 일반형,휘발유,28.81375167
829,광주,비사업용,승용차 일반형,휘발유,71.90174531
830,광주,비사업용,승용차 일반형,휘발유,10.56545961
831,인천,비사업용,승용차 일반형,휘발유,24.87936943
832,서울,비사업용,승용차 일반형,휘발유,12.89895897
833,부산,비사업용,승용차 일반형,휘발유,20.35342466
834,서울,비사업용,승용차 일반형,휘발유,28.9185336
835,인천,비사업용,승용차 일반형,휘발유,15.87942779
836,서울,비사업용,승용차 일반형,휘발유,9.289164941
837,서울,비사업용,승용차 일반형,휘발유,14.78537894
838,경기,비사업용,승용차 일반형,휘발유,18.82312457
839,경기,비사업용,승용차 일반형,휘발유,21.43317341
840,충북,비사업용,승용차 일반형,휘발유,30.31499312
841,대전,비사업용,승용차 일반형,휘발유,56.01039501
842,광주,비사업용,승용차 일반형,휘발유,7.475928473
843,인천,비사업용,승용차 일반형,휘발유,27.96967963
844,경기,비사업용,승용차 일반형,휘발유,48.10963687
845,인천,비사업용,승용차 일반형,휘발유,48.59538357
846,충북,비사업용,승용차 일반형,휘발유,54.31875
847,부산,비사업용,승용차 일반형,휘발유,9.589371981
848,서울,비사업용,승용차 일반형,휘발유,18.54656696
849,세종,비사업용,승용차 일반형,휘발유,13.71777476
850,충북,비사업용,승용차 일반형,휘발유,40.53963839
851,경기,비사업용,승용차 일반형,휘발유,34.84304318
852,서울,비사업용,승용차 일반형,휘발유,16.83436853
853,경기,비사업용,승용차 일반형,휘발유,13.19086571
854,부산,비사업용,승용차 일반형,휘발유,42.55517241
855,서울,비사업용,승용차 일반형,휘발유,15.70355191
856,부산,비사업용,승용차 일반형,휘발유,34.65498282
857,부산,비사업용,승용차 일반형,휘발유,26.22245179
858,부산,비사업용,승용차 일반형,휘발유,48.00138793
859,서울,비사업용,승용차 일반형,휘발유,36.41828255
860,경기,비사업용,승용차 일반형,휘발유,35.81496881
861,경기,비사업용,승용차 일반형,휘발유,24.07108351
862,서울,비사업용,승용차 일반형,휘발유,16.13081591
863,서울,비사업용,승용차 일반형,휘발유,29.79653979
864,경기,비사업용,승용차 일반형,휘발유,19.04110512
865,서울,비사업용,승용차 일반형,휘발유,11.22191401
866,서울,비사업용,승용차 일반형,휘발유,32.97516779
867,광주,비사업용,승용차 일반형,휘발유,22.21481481
868,서울,비사업용,승용차 일반형,휘발유,17.76229508
869,서울,비사업용,승용차 일반형,휘발유,35.7366283
870,경북,비사업용,승용차 일반형,휘발유,23.16287095
871,광주,비사업용,승용차 일반형,휘발유,26.06593407
872,세종,비사업용,승용차 일반형,휘발유,24.87638122
873,서울,비사업용,승용차 일반형,휘발유,46.75102881
874,부산,비사업용,승용차 일반형,휘발유,15.08947006
875,부산,비사업용,승용차 일반형,휘발유,24.16849315
876,부산,비사업용,승용차 일반형,휘발유,20.62045299
877,인천,비사업용,승용차 일반형,휘발유,22.25908156
878,경기,비사업용,승용차 일반형,휘발유,67.07073509
879,전남,비사업용,승용차 일반형,휘발유,32.62839248
880,부산,비사업용,승용차 일반형,휘발유,14.17945205
881,서울,비사업용,승용차 일반형,휘발유,25.22376238
882,서울,비사업용,승용차 일반형,휘발유,73.65232011
883,경기,비사업용,승용차 일반형,휘발유,40.88292011
884,서울,비사업용,승용차 일반형,휘발유,9.193112762
885,경기,비사업용,승용차 일반형,휘발유,16.44875346
886,광주,비사업용,승용차 일반형,휘발유,23.71616022
887,부산,비사업용,승용차 일반형,휘발유,21.40934066
888,부산,비사업용,승용차 일반형,휘발유,33.8957346
889,경남,비사업용,승용차 일반형,휘발유,32.3723331
890,부산,비사업용,승용차 일반형,휘발유,17.22792608
891,경기,비사업용,승용차 일반형,휘발유,24.1344086
892,부산,비사업용,승용차 일반형,휘발유,16.51683849
893,광주,비사업용,승용차 일반형,휘발유,33.47471342
894,부산,비사업용,승용차 일반형,휘발유,35.70830426
895,전남,비사업용,승용차 일반형,휘발유,22.83435583
896,서울,비사업용,승용차 일반형,휘발유,28.88065844
897,서울,비사업용,승용차 일반형,휘발유,8.293793103
898,경기,비사업용,승용차 일반형,휘발유,16.44085282
899,부산,비사업용,승용차 일반형,휘발유,11.11717172
900,서울,비사업용,승용차 일반형,휘발유,18.44151454
901,경기,비사업용,승용차 일반형,휘발유,31.74001354
902,경기,비사업용,승용차 일반형,휘발유,26.81993127
903,경남,비사업용,승용차 일반형,휘발유,26.06473365
904,경기,비사업용,승용차 일반형,휘발유,13.87594243
905,광주,비사업용,승용차 일반형,휘발유,25.22651934
906,부산,비사업용,승용차 일반형,휘발유,21.05766621
907,서울,비사업용,승용차 일반형,휘발유,23.93617021
908,서울,비사업용,승용차 일반형,휘발유,10.53600543
909,서울,비사업용,승용차 일반형,휘발유,32.03044655
910,서울,비사업용,승용차 일반형,휘발유,23.45242984
911,대구,비사업용,승용차 일반형,휘발유,17.73886223
912,서울,비사업용,승용차 일반형,휘발유,16.01019714
913,광주,비사업용,승용차 일반형,휘발유,13.17313019
914,부산,비사업용,승용차 일반형,휘발유,13.38651994
915,부산,비사업용,승용차 일반형,휘발유,29.00339674
916,충남,비사업용,승용차 일반형,휘발유,35.4041977
917,인천,비사업용,승용차 일반형,휘발유,55.72534247
918,충남,비사업용,승용차 일반형,휘발유,20.30223124
919,대구,비사업용,승용차 일반형,휘발유,20.28865979
920,경남,비사업용,승용차 일반형,휘발유,22.7369146
921,경기,비사업용,승용차 일반형,휘발유,28.18256692
922,광주,비사업용,승용차 일반형,휘발유,31.41550279
923,경기,비사업용,승용차 일반형,휘발유,16.33058419
924,서울,비사업용,승용차 일반형,휘발유,46.37126995
925,경기,비사업용,승용차 일반형,휘발유,31.80109364
926,전북,비사업용,승용차 일반형,휘발유,24.55949896
927,서울,비사업용,승용차 일반형,휘발유,20.67691257
928,서울,비사업용,승용차 일반형,휘발유,13.15935978
929,경북,비사업용,승용차 일반형,휘발유,67.18590187
930,대전,비사업용,승용차 일반형,휘발유,15.61800819
931,광주,비사업용,승용차 일반형,휘발유,17.31475187
932,경기,비사업용,승용차 일반형,휘발유,37.30455801
933,경기,비사업용,승용차 일반형,휘발유,66.15364238
934,서울,비사업용,승용차 일반형,휘발유,15.92057292
935,제주,비사업용,승용차 일반형,휘발유,18.49003984
936,부산,비사업용,승용차 일반형,휘발유,79.12916667
937,부산,비사업용,승용차 일반형,휘발유,23.31318681
938,부산,비사업용,승용차 일반형,휘발유,12.26159794
939,경기,비사업용,승용차 일반형,휘발유,21.11576011
940,경기,비사업용,승용차 일반형,기타,15.86046512
941,부산,비사업용,승용차 일반형,기타,37.09563994
942,부산,비사업용,승용차 일반형,기타,28.6461126
943,경기,비사업용,승용차 일반형,기타,51.7661823
944,대구,비사업용,승용차 일반형,기타,28.23076923
945,대전,비사업용,승용차 일반형,기타,10.65986395
946,서울,비사업용,승용차 일반형,기타,47.32496513
947,광주,비사업용,승용차 일반형,기타,80.45280438
948,경기,비사업용,승용차 일반형,기타,46.98773842
949,경기,비사업용,승용차 일반형,기타,56.77492877
950,경기,비사업용,승용차 일반형,기타,37.13243243
951,경기,비사업용,승용차 일반형,기타,20.79656539
952,인천,비사업용,승용차 일반형,기타,28.82972973
953,경남,비사업용,승용차 일반형,기타,48.43603851
954,경기,비사업용,승용차 일반형,기타,27.38624339
955,경남,비사업용,승용차 일반형,기타,24.74965229
956,광주,비사업용,승용차 일반형,기타,32.79207921
957,전남,비사업용,승용차 일반형,기타,33.82278481
958,대전,비사업용,승용차 일반형,기타,39.32369146
959,제주,비사업용,승용차 일반형,기타,15.22830441
960,부산,비사업용,승용차 일반형,기타,30.74162011
961,경북,비사업용,승용차 일반형,기타,12.76401565
962,대구,비사업용,승용차 일반형,기타,46.34231806
963,부산,비사업용,승용차 일반형,기타,39.57832898
964,경기,비사업용,승용차 일반형,휘발유,65.76700252
965,제주,사업용,승용차 일반형,휘발유,80.37131367
966,세종,비사업용,승용차 일반형,휘발유,56.02351314
967,경남,비사업용,승용차 일반형,휘발유,18.19331395
968,서울,비사업용,승용차 일반형,휘발유,21.34251969
969,경기,비사업용,승용차 일반형,휘발유,11.50539084
970,경기,비사업용,승용차 일반형,휘발유,31.49731903
971,서울,비사업용,승용차 일반형,휘발유,25.73388203
972,서울,비사업용,승용차 일반형,휘발유,16.51447368
973,충남,비사업용,승용차 일반형,휘발유,29.03576341
974,경남,비사업용,승용차 일반형,휘발유,7.596127248
975,경기,비사업용,승용차 일반형,휘발유,37.69811321
976,제주,비사업용,승용차 일반형,휘발유,13.70242656
977,광주,비사업용,승용차 일반형,휘발유,5.584878745
978,인천,비사업용,승용차 일반형,휘발유,22.26736566
979,전남,비사업용,승용차 일반형,휘발유,66.1771978
980,경기,비사업용,승용차 일반형,휘발유,20.28690808
981,서울,비사업용,승용차 일반형,휘발유,7.949591281
982,경북,비사업용,승용차 일반형,휘발유,34.44950213
983,서울,비사업용,승용차 일반형,휘발유,21.82044199
984,경기,비사업용,승용차 일반형,휘발유,19.83751651
985,경기,비사업용,승용차 일반형,휘발유,29.85583224
986,광주,비사업용,승용차 일반형,휘발유,25.75786594
987,경북,비사업용,승용차 일반형,휘발유,24.7375
988,부산,비사업용,승용차 일반형,휘발유,17.25695364
989,경기,비사업용,승용차 일반형,휘발유,9.092664093
990,부산,비사업용,승용차 일반형,휘발유,14.0530504
991,서울,비사업용,승용차 일반형,휘발유,37.55153949
992,서울,비사업용,승용차 일반형,휘발유,35.68282548
993,경기,비사업용,승용차 일반형,휘발유,11.19402985
994,경기,비사업용,승용차 일반형,휘발유,22.16644114
995,경기,비사업용,승용차 일반형,휘발유,32.24964539
996,서울,비사업용,승용차 일반형,휘발유,13.2993007
997,전남,비사업용,승용차 일반형,휘발유,18.21964529
998,서울,비사업용,승용차 일반형,휘발유,8.260989011
999,인천,비사업용,승용차 일반형,휘발유,22.63722826
1000,서울,비사업용,승용차 일반형,휘발유,37.6683871
